#NSGA2
popsize 40
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	40
totalTime	91.968
firstFrontCount	5
frontCount	33
avgEvalTime	11.8865
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
498075	29.3818	0.334241	0.906188	0.27027	20141.9	-0.333677	-1.00007	0	0	0	
533820	129.405	0.587717	0.529757	0.384619	33319.5	-0.314389	-1.00005	0	0	0	
726640	10	0.722141	1.10765	0.86114	25268.9	-0.320819	-0.999849	0	0	0	
498075	29.3818	0.334241	0.906188	0.0853934	18380.4	-0.303377	-1.00002	0	0	0	
650123	10	0.476347	1.25509	0.260165	30183.4	-0.25161	-1.00003	0	0	0	
413757	29.3818	0.862615	0.532003	0.27027	35962.3	-0.197962	-1.00003	0	0	0	
684707	114.474	0.587717	0.529757	0.306706	16451.8	-0.290156	-1.00001	0	0	0	
260319	136.734	0.989099	0.42513	0.0326008	32448	-0.155492	-1.00001	0	0	0	
344637	69.2127	0.622063	0.568236	0.0326008	17727.1	-0.216299	-1	0	0	0	
540719	346.098	0.942598	1.84863	0.052677	39514.3	-0.154016	-0.922005	0	0	0	
726354	702.889	0.63576	0.163847	0.0688061	22784	-0.212489	-0.916597	0	0	0	
542254	355.648	0.928112	1.59199	0.0531592	35910.6	-0.15496	-0.913937	0	0	0	
186264	961.525	0.173825	0.361583	0.37241	13168.8	-0.565536	-0.845193	0	0.0548068	0	
256050	397.028	0.824752	1.62639	0.0604712	25970.3	-0.160321	-0.839498	0	0.0605023	0	
198728	280.393	0.406488	0.951909	0.365816	35455.8	-0.360568	-0.838521	0	0.0614788	0	
256050	397.028	0.77896	1.82216	0.0604712	25970.3	-0.162855	-0.807969	0	0.0920309	0	
256050	397.028	0.824752	1.62639	0.156861	25472.1	-0.164079	-0.77509	0	0.12491	0	
220760	327.213	0.733634	1.19289	0.192028	15555	-0.184581	-0.764221	0	0.135779	0	
665107	774.261	0.924196	1.94821	0.192028	15555	-0.152331	-0.761312	0	0.138688	0	
100000	186.197	0.169831	0.539832	0.440085	30701.9	-0.524818	-0.75402	0	0.14598	0	



#Generation 3 / 60
currentGen	3
evaluateCount	120
totalTime	362.646
firstFrontCount	7
frontCount	5
avgEvalTime	29.155
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
198728	72.9555	0.343869	0.951909	0.482504	40540.2	-0.44955	-1.00029	0	0	0	
707799	48.0354	0.593276	0.937801	0.915991	10046	-0.621085	-0.999645	0	0	0	
499705	45.4051	0.182357	1.40315	0.398285	16416.4	-0.532936	-1.00009	0	0	0	
524221	45.4051	0.182357	1.47134	0.473486	16723.4	-0.563899	-0.999989	0	0	0	
499705	45.4051	0.223171	1.40315	0.398285	16286.3	-0.498499	-1.00009	0	0	0	
198728	10	0.343869	1.05665	0.801624	40540.2	-0.332528	-1.00159	0	0	0	
