#NSGA2
popsize 46
maxGen 60
numVar 9
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	46
totalTime	257.325
firstFrontCount	1
frontCount	41
avgEvalTime	13.3834
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Obj2	Cons1	Cons2	Cons3	
648661	183.898	0.424582	0.77385	0.881321	23520.2	15.193	6.78494	31.7172	-0.19959	-0.593078	0	0.306922	0	
186604	110.498	0.669303	1.57611	0.981764	23136	10.1578	10.6083	7.14976	-0.210298	-0.992221	0	0	0	
852462	668.972	0.871474	1.20104	0.905456	26140.3	19.4983	20.0542	13.1467	-0.148862	-0.862551	0	0.0374491	0.00113832	
927180	292.334	0.879465	1.46359	0.752134	44477.4	5.42484	23.3154	2.76512	-0.153077	-0.898422	0	0.00157763	0	
508300	215.061	0.302342	0.210925	0.320338	39354.3	10.3072	8.47798	58.2695	-0.384141	-0.999325	0	0	0	
168891	617.449	0.736342	1.90428	0.72838	48258.2	17.4198	18.424	52.2993	-0.156298	-0.772323	0	0.127677	0	



#Generation 2 / 60
currentGen	2
evaluateCount	92
totalTime	557.734
firstFrontCount	5
frontCount	21
avgEvalTime	17.7546
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Obj2	Cons1	Cons2	Cons3	
496593	288.86	0.465617	0.172116	0.61039	43581.7	4.09112	8.50812	40.5104	-0.290998	-1.00017	0	0	0	
508300	56.3079	0.244168	0.402406	0.320338	45662.5	11.3781	9.9845	61.3311	-0.452185	-0.998673	0	0	0	
508300	199.519	0.302342	0.210925	0.320338	39354.3	10.3072	8.47798	58.2695	-0.386117	-0.999687	0	0	0	
396069	21.0362	0.604259	0.200676	0.940298	46062.2	16.7573	8.87202	64.8871	-0.402452	-0.999429	0	0	0	
423603	291.228	0.438658	0.1	0.0732237	42408.4	10.3072	8.47798	38.1284	-0.312899	-1.00002	0	0	0	
508300	215.061	0.302342	0.210925	0.320338	39354.3	10.3072	8.47798	58.2695	-0.384141	-0.999325	0	0	0	
336295	639.746	0.86196	0.1	0.0772747	19741.8	10.1931	21.885	64.7753	-0.174279	-1.00001	0	0	0	
496593	212.693	0.426376	0.288241	0.538062	40527.6	4.09112	8.50812	36.3116	-0.303783	-0.999664	0	0	0	
283152	45.0698	0.590436	1.66347	0.532711	30842.8	0.46428	2.16653	59.0108	-0.237963	-0.999726	0	0	0	
496593	288.86	0.465617	0.288241	0.61039	43581.7	4.09112	8.50812	25.2912	-0.273446	-0.966473	0	0	0	
205164	307.283	0.510582	0.621788	0.614842	19056.6	7.22256	5.5832	60.8494	-0.257692	-0.991544	0	0	0	
283152	45.0698	0.540687	1.66347	0.532711	34906	0.46428	6.11267	54.4664	-0.254848	-0.999268	0	0	0	
283152	45.0698	0.540687	1.66347	0.532711	34906	0.46428	2.16653	54.4664	-0.253807	-0.999032	0	0	0	
355321	45.0698	0.540687	1.52647	0.532711	34906	0.46428	2.16653	54.4664	-0.254527	-0.99881	0	0	0	
739548	26.567	0.65928	0.963501	0.965623	30660.9	8.19544	18.5535	41.4484	-0.233101	-0.998882	0	0	0	
339856	45.0698	0.540687	1.66347	0.714282	34906	0.46428	2.16653	54.4664	-0.252814	-0.996573	0	0	0	
186604	110.498	0.669303	1.57611	0.981764	23136	10.1578	10.6083	7.14976	-0.210298	-0.992221	0	0	0	
194136	312.457	0.982177	1.31607	0.661419	35393.4	12.3263	8.75321	64.5905	-0.150849	-0.9855	0	0	0	
199924	649.015	0.925406	0.842939	0.704046	30812.9	11.0094	22.8436	17.0415	-0.153839	-0.950247	0	0	0	
305881	280.736	0.97605	1.20653	0.190525	22786.1	6.40651	7.74905	2.2977	-0.151244	-0.983716	0	0	0	
199924	649.015	0.988082	0.805122	0.704046	30812.9	11.0094	22.8436	17.0415	-0.150571	-0.989452	0	0	0	
194136	312.457	0.982177	1.13579	0.627835	35393.4	12.3263	8.75321	59.8199	-0.150882	-0.985228	0	0	0	
194136	312.457	0.982177	1.31607	0.66873	27241.7	11.0286	4.22805	57.6965	-0.150844	-0.985703	0	0	0	
344584	384.461	0.897851	1.29453	0.0674974	15419.2	5.4223	3.96335	10.3587	-0.155229	-0.932639	0	0	0	
336295	547.413	0.86196	0.746309	0.0334373	20066	11.274	21.885	67.8369	-0.158177	-0.914452	0	0	0	
305881	280.736	0.97605	1.29453	0.0674974	22786.1	3.13406	3.96335	4.7448	-0.151157	-0.982796	0	0	0	
199924	649.015	0.925406	0.842939	0.704046	38728.2	11.0094	22.8436	16.6202	-0.153826	-0.950226	0	0	0	
336295	666.513	0.86196	0.746309	0.0741317	16963.7	11.274	17.9389	67.8369	-0.157684	-0.911642	0	0	0	
336295	666.513	0.86196	0.746309	0.0741317	18570.1	11.274	21.885	67.8369	-0.157666	-0.911516	0	0	0	
324850	905.418	0.976232	1.06613	0.589744	44454.3	15.0277	9.23363	54.8748	-0.150845	-0.981266	0	0	0	
199924	727.187	0.925406	0.842939	0.704046	30812.9	15.8428	22.8436	17.0415	-0.153711	-0.949653	0	0	0	
460425	312.457	0.982177	1.31607	0.476304	37736.9	12.6201	6.57318	64.5905	-0.150505	-0.98259	0	0	0	
571869	232.565	0.972855	1.31607	0.575904	35393.4	13.8788	9.61361	64.5905	-0.150808	-0.974306	0	0	0	
341214	603.603	0.871464	1.01159	0.860295	25251.7	14.2363	21.2296	14.3088	-0.154642	-0.90078	0	0	0	
436294	721.231	0.912369	1.06613	0.689344	42110.8	14.9982	10.094	54.8748	-0.153599	-0.936503	0	0	0	
798505	898.936	0.915767	0.852641	0.786976	47302.9	14.6897	6.5539	33.1982	-0.150547	-0.918274	0	0	0	
798505	898.936	0.915767	0.989641	0.786976	47302.9	14.6897	6.5539	33.1982	-0.150138	-0.915619	0	0	0	
695397	905.418	0.94101	1.24641	0.672806	44454.3	15.5189	10.094	59.6454	-0.149767	-0.93851	0	0	0.000232618	
702583	905.418	0.96691	1.06613	0.504229	44454.3	16.5803	10.094	54.8748	-0.149738	-0.963848	0	0	0.000262213	
702583	827.247	0.99	1.06613	0.504229	49480.2	11.7468	0.959692	54.8748	-0.149625	-0.985934	0	0	0.000374625	
927180	292.334	0.879465	1.46359	0.752134	44477.4	5.42484	23.3154	2.76512	-0.153077	-0.898422	0	0.00157763	0	
852462	668.972	0.99	1.81417	0.978808	26140.3	19.4983	28.6294	13.1467	-0.148084	-0.974901	0	0	0.00191558	
341214	464.08	0.871464	1.28048	0.914558	25251.7	14.2363	22.5222	14.3088	-0.153748	-0.89465	0	0.00534962	0	
729050	999.048	0.88785	1.25619	0.159699	30070.5	6.22343	0.379303	62.4086	-0.150541	-0.891018	0	0.00898155	0	
955501	999.048	0.88785	1.25619	0.159699	34621.1	5.13406	2.47061	57.8642	-0.15014	-0.888257	0	0.0117429	0	
430211	109.549	0.781678	1.41098	0.780634	24718.2	10.0193	3.52859	50.2083	-0.167417	-0.880881	0	0.0191189	0	



#Generation 3 / 60
currentGen	3
evaluateCount	138
totalTime	992.829
firstFrontCount	9
frontCount	12
avgEvalTime	26.0648
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Obj2	Cons1	Cons2	Cons3	
508300	56.3079	0.244168	0.402406	0.320338	45662.5	11.3781	9.9845	61.3311	-0.452185	-0.998673	0	0	0	
396069	21.0362	0.604259	0.200676	0.940298	46062.2	16.7573	8.87202	64.8871	-0.402452	-0.999429	0	0	0	
596709	35.0303	0.390904	0.402406	0.458705	45662.5	11.3781	13.2252	59.9173	-0.376867	-1.00022	0	0	0	
508300	215.061	0.302342	0.210925	0.320338	36165.5	0.792514	12.5642	65.3992	-0.393228	-1.0001	0	0	0	
472667	47.0207	0.244168	0.402406	0.320338	50000	11.3781	10.7698	61.3311	-0.457422	-0.997445	0	0	0	
455745	21.0362	0.604259	0.420203	0.701659	40948	16.7573	8.87202	64.8871	-0.32671	-1.00139	0	0	0	
508300	56.3079	0.244168	0.402406	0.4222	41266.3	11.3781	6.26187	61.3311	-0.451583	-0.999231	0	0	0	
496593	56.035	0.472136	0.288241	0.538062	40527.6	4.09112	7.93015	36.3116	-0.347814	-1.00075	0	0	0	
508300	147.859	0.302342	0.210925	0.320338	38483.2	12.0299	8.52402	59.6255	-0.39366	-1	0	0	0	
508300	199.519	0.302342	0.210925	0.320338	39354.3	10.3072	8.47798	58.2695	-0.386117	-0.999687	0	0	0	
423603	291.228	0.422333	0.1	0.0732237	38554.5	10.3072	8.47798	34.2975	-0.320112	-1.00003	0	0	0	
313155	199.519	0.302342	0.210925	0.320338	39354.3	10.4136	8.47798	58.2695	-0.383566	-0.999708	0	0	0	
608066	102.893	0.465617	0.288241	0.61039	43581.7	4.0082	8.50812	25.2912	-0.307069	-1.00034	0	0	0	
496593	288.86	0.465617	0.172116	0.61039	43581.7	4.09112	8.50812	40.5104	-0.290998	-1.00017	0	0	0	
423603	291.228	0.438658	0.1	0.0732237	42408.4	10.3072	8.47798	38.1284	-0.312899	-1.00002	0	0	0	
508300	215.061	0.302342	0.210925	0.320338	39354.3	10.3072	8.47798	58.2695	-0.384141	-0.999325	0	0	0	
186604	110.498	0.746404	1.01174	0.981764	48000.4	10.3259	10.7447	7.14976	-0.196069	-1.00024	0	0	0	
423603	291.228	0.438658	0.1	0.0732237	42408.4	10.3072	8.47798	38.1284	-0.312899	-1.00002	0	0	0	
496593	212.693	0.426376	0.288241	0.538062	40527.6	4.09112	8.50812	36.3116	-0.303783	-0.999664	0	0	0	
496593	301.731	0.465617	0.172116	0.61039	43581.7	4.09112	8.50812	40.5104	-0.289931	-1.00017	0	0	0	
496593	288.86	0.465617	0.288241	0.61039	43581.7	4.09112	8.50812	25.2912	-0.273446	-0.966473	0	0	0	
205164	307.283	0.510582	0.621788	0.614842	19056.6	7.22256	5.5832	60.8494	-0.257692	-0.991544	0	0	0	
283152	45.0698	0.540687	1.66347	0.532711	34906	0.46428	6.11267	54.4664	-0.254848	-0.999268	0	0	0	
283152	45.0698	0.590436	1.66347	0.532711	18676.8	0.46428	4.27782	59.0108	-0.239125	-1.00012	0	0	0	
336295	639.746	0.86196	0.1	0.0772747	19741.8	10.1931	21.885	64.7753	-0.174279	-1.00001	0	0	0	
283152	45.0698	0.590436	1.66347	0.532711	30842.8	0.46428	2.16653	59.0108	-0.237963	-0.999726	0	0	0	
283152	45.0698	0.540687	1.66347	0.532711	34906	0.46428	2.16653	54.4664	-0.253807	-0.999032	0	0	0	
355321	45.0698	0.540687	1.52647	0.532711	34906	0.46428	2.16653	54.4664	-0.254527	-0.99881	0	0	0	
336295	639.746	0.86196	0.1	0.0772747	19741.8	10.1931	21.885	64.7753	-0.174279	-1.00001	0	0	0	
496593	288.86	0.465617	0.288241	0.61039	50000	11.9325	8.50812	39.9616	-0.263277	-0.919408	0	0	0	
739548	26.567	0.65928	0.963501	0.965623	30660.9	8.19544	18.5535	41.4484	-0.233101	-0.998882	0	0	0	
355321	45.0698	0.540687	1.50587	0.532711	44347.1	0.46428	1.01352	52.5808	-0.2536	-0.99715	0	0	0	
339856	45.0698	0.540687	1.66347	0.714282	34906	0.46428	2.16653	54.4664	-0.252814	-0.996573	0	0	0	
325227	45.0698	0.540687	1.66347	0.532711	38094.8	9.97901	2.16653	61.8864	-0.251103	-0.992617	0	0	0	
336295	791.458	0.86196	0.1	0.0772747	15978.6	10.1931	21.885	64.7753	-0.172258	-0.995797	0	0	0	
186604	110.498	0.669303	1.57611	0.981764	23136	10.1578	10.6083	7.14976	-0.210298	-0.992221	0	0	0	
205164	307.283	0.510582	0.621788	0.614842	31222.6	7.22256	3.47191	60.8494	-0.241094	-0.908624	0	0	0	
194136	312.457	0.982177	1.31607	0.661419	35393.4	12.3263	8.75321	64.5905	-0.150849	-0.9855	0	0	0	
194136	312.457	0.982177	1.31607	0.66873	27241.7	11.0286	4.22805	57.6965	-0.150844	-0.985703	0	0	0	
336295	639.746	0.86196	0.170001	0.0772747	19741.8	10.1931	22.434	64.9529	-0.166098	-0.95934	0	0	0	
194136	388.758	0.982177	1.31607	0.66873	27241.7	10.9223	2.4298	48.1607	-0.150804	-0.986144	0	0	0	
503326	280.736	0.97605	0.148855	0.170792	22786.1	6.84625	7.74905	33.5288	-0.155965	-0.985344	0	0	0	
305881	280.736	0.99	0.663521	0.190525	23812.6	6.40651	8.54367	2.2977	-0.150669	-0.991716	0	0	0	
191882	547.413	0.86196	0.746309	0.801707	20066	11.274	24.7372	67.8369	-0.159966	-0.924926	0	0	0	
199924	649.015	0.988082	0.805122	0.704046	30812.9	11.0094	22.8436	17.0415	-0.150571	-0.989452	0	0	0	
194136	312.457	0.922645	0.916265	0.901714	31225.9	15.3653	8.75321	59.8199	-0.155246	-0.954606	0	0	0	



