#NSGA2
popsize 40
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	40
totalTime	7.60768
firstFrontCount	40
frontCount	1
avgEvalTime	1.28454
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
652023	928.472	0.919608	0.842402	0.268294	39017.9	100000	100000	1	1	1	
357823	951.538	0.759411	1.27403	0.539648	41118.2	100000	100000	1	1	1	
329958	125.41	0.374796	0.289278	0.402192	50000	100000	100000	1	1	1	
621989	220.987	0.44651	1.61588	0.739954	21975.8	100000	100000	1	1	1	
547165	592.007	0.505087	0.344724	0.755366	43577.6	100000	100000	1	1	1	
301030	601.072	0.180607	1.19292	0.494408	28580.5	100000	100000	1	1	1	
834635	721.771	0.769358	0.661924	0.798322	47081.6	100000	100000	1	1	1	
501823	142.379	0.720772	0.321251	0.244096	43945.4	100000	100000	1	1	1	
508486	120.186	0.161106	0.264272	0.727455	29478.9	100000	100000	1	1	1	
484367	166.806	0.850034	0.703151	0.501676	44424.3	100000	100000	1	1	1	
674189	54.8762	0.644355	0.906178	0.283751	46451.2	100000	100000	1	1	1	
834635	786.172	0.769358	1.4013	0.79386	30344.6	100000	100000	1	1	1	
244888	725.582	0.799454	0.87488	0.796548	37912.9	100000	100000	1	1	1	
975960	159.99	0.130695	0.30482	0.297386	39127.1	100000	100000	1	1	1	
975960	10	0.130695	0.468228	0.247532	39127.1	100000	100000	1	1	1	
508486	136.813	0.0425503	0.430919	0.211629	29478.9	100000	100000	1	1	1	
846918	271.756	0.487777	1.11733	0.666195	46567.5	100000	100000	1	1	1	
691527	220.987	0.44651	1.51586	0.66551	21975.8	100000	100000	1	1	1	



#Generation 3 / 60
currentGen	3
evaluateCount	120
totalTime	12.7349
firstFrontCount	40
frontCount	1
avgEvalTime	0.290448
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
466396	534.157	0.214441	1.51097	0.458983	45317.5	100000	100000	1	1	1	
499596	595.184	0.227826	1.07748	0.417679	43491.7	100000	100000	1	1	1	
508486	136.813	0.0425503	0.546363	0.0427772	29478.9	100000	100000	1	1	1	
761428	242.534	0.818763	1.61533	0.809173	47363.8	100000	100000	1	1	1	
644868	135.875	0.770072	1.5241	0.734901	50000	100000	100000	1	1	1	
339307	166.806	0.530071	2	0.407286	45047.3	100000	100000	1	1	1	
291890	125.41	0.492534	0.293601	0.470307	26223.2	100000	100000	1	1	1	
409398	601.072	0.721961	1.32808	0.431691	28580.5	100000	100000	1	1	1	
435838	951.538	0.218057	1.27403	0.406264	38751.8	100000	100000	1	1	1	
408064	601.072	0.477167	0.592465	0.444308	47610.7	100000	100000	1	1	1	
812583	371.533	0.74017	1.63708	0.454409	44895.6	100000	100000	1	1	1	
357823	798.157	0.931547	1.27403	0.539648	41118.2	100000	100000	1	1	1	
633755	647.492	0.326842	1.19292	0.389553	43491.7	100000	100000	1	1	1	
975960	111.986	0.157159	0.30482	0.297386	39127.1	100000	100000	1	1	1	
800561	570.474	0.529226	1.151	0.87861	22912.4	100000	100000	1	1	1	
508486	82.7752	0.0425503	0.712479	0.384458	27654.5	100000	100000	1	1	1	
923461	318.345	0.818519	0.780894	0.523164	49036.3	100000	100000	1	1	1	
898049	534.157	0.180607	1.15306	0.458983	49451.5	100000	100000	1	1	1	
434504	786.172	0.833762	1.4013	0.734236	30344.6	100000	100000	1	1	1	
829927	371.533	0.803208	1.151	0.87861	22912.4	100000	100000	1	1	1	
805269	841.823	0.495376	0.661924	0.679827	45401.7	100000	100000	1	1	1	
100000	142.326	0.35636	0.238088	0.769519	49019.3	100000	100000	1	1	1	
922906	304.127	0.487777	0.923363	0.445382	46567.5	100000	100000	1	1	1	
795354	132.785	0.515877	0.906178	0.730379	43153.6	100000	100000	1	1	1	
601560	122.978	0.643344	1.151	0.431981	22912.4	100000	100000	1	1	1	
720929	371.533	0.529226	1.01422	0.897478	22912.4	100000	100000	1	1	1	
369026	166.806	0.461377	2	0.549764	45047.3	100000	100000	1	1	1	
309874	142.08	0.207378	0.289278	0.769519	46741.1	100000	100000	1	1	1	
508486	137.059	0.255226	0.69616	0.211629	29478.9	100000	100000	1	1	1	
304988	142.701	0.0905547	0.410216	0.727455	32370.4	100000	100000	1	1	1	
