#NSGA2
popsize 60
maxGen 80
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 80
currentGen	1
evaluateCount	60
totalTime	337.016
firstFrontCount	13
frontCount	43
avgEvalTime	35.8025
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
209638	188.06	0.186671	0.787443	1	11291.2	-0.00108946	324.587	0	0	0	
212591	214.589	0.174601	0.816215	1	12202.2	-0.00114752	325.147	0	0	0	
102006	373.865	0.147697	0.755986	1	10000	-0.000514309	208.215	0	0	0	
100000	295.782	0.166049	0.716767	1	10977.1	-0.000480653	191.004	0	0	0	
106007	313.387	0.147697	0.66633	1	14136.5	-0.000466793	172.698	0	0	0	
212591	214.589	0.206889	0.869402	0.962769	12202.2	-0.00121067	344.853	0	0	0	
142322	245.623	0.11793	0.871074	1	10000	-0.000823778	233.815	0	0	0	
109604	302.296	0.141183	1.01875	1	10000	-0.000695183	229.8	0	0	0	
118520	214.589	0.174601	0.816215	1	12197.7	-0.000641559	208.972	0	0	0	
102006	380.945	0.141328	0.84123	1	10000	-0.000538174	217.668	0	0	0	
115903	374.817	0.128968	0.765728	1	10000	-0.000582751	221.918	0	0	0	
115903	374.817	0.128968	0.740956	1	10000	-0.000570751	218.373	0	0	0	
100000	413.598	0.141183	0.707976	1	10000	-0.00047106	202.969	0	0	0	
100000	402.547	0.147167	0.707976	1	10000	-0.000472954	204.674	0	0	0	
155837	216.815	0.186671	0.801804	1	10000	-0.00083037	280.792	0	0	0	
151926	323.105	0.11793	0.804713	0.915259	10000	-0.000805897	247.955	0	0	0	
100000	402.486	0.128968	0.712774	1	11335.3	-0.000465147	184.158	0	0	0	
153420	332.691	0.117777	0.712774	1	10000	-0.000730878	254.122	0	0	0	
151926	312.995	0.11793	0.804713	1	10000	-0.000804048	258.837	0	0	0	
142567	313.387	0.147697	0.66633	1	10000	-0.000639044	249.281	0	0	0	
100000	413.598	0.223475	0.710105	0.96924	13817.1	-0.000434216	218.425	0	0	0	
124123	272.24	0.166049	0.66633	1	10000	-0.000555191	228.367	0	0	0	
142567	309.014	0.147697	0.756268	1	10000	-0.00072191	257.64	0	0	0	
142567	309.014	0.147697	0.774888	1	10000	-0.0007386	259.621	0	0	0	
161043	374.817	0.12275	0.47555	1	10000	-0.000519738	249.575	0	0	0	
162665	272.24	0.166049	0.732193	1	10000	-0.000797478	284.406	0	0	0	
142567	374.817	0.128968	0.712774	1	10000	-0.000662833	259.467	0	0	0	
162665	272.24	0.166049	0.66633	1	10000	-0.000727191	278.462	0	0	0	
100000	303.215	0.281332	0.693843	1	10712.4	-0.000467074	251.749	0	0	0	
142567	303.215	0.210333	0.712774	1	10712.4	-0.000681755	283.661	0	0	0	
155121	337.906	0.187774	0.66633	1	10000	-0.000693378	298.278	0	0	0	
115903	305.271	0.403212	0.740956	1	10000	-0.000552632	366.364	0	0	0	
257347	197.621	0.147697	0.66633	0.998869	10000	-0.00113847	350.698	0	0	0.00799532	
113100	227.254	0.127033	0.707976	1	10000	-0.000533283	190.127	0	0	0.0107372	
140320	423.571	0.117777	0.712774	1	10000	-0.000602839	262.876	0	0.011913	0	
115903	374.817	0.128968	0.765728	0.873957	10000	-0.000589287	203.14	0	0	0.0164848	
199126	188.06	0.210118	0.713859	1	10000	-0.000940852	332.423	0	0	0.0180008	
235629	144.226	0.227192	0.805878	1	11347.1	-0.00123594	362.74	0	0	0.0325632	
235629	144.226	0.124497	0.805878	1	10132.3	-0.00123579	313.117	0	0	0.0403636	
149450	206.125	0.117777	0.610661	1	10000	-0.00060839	226.047	0	0	0.0468115	
200898	150.915	0.108638	0.794473	0.987405	10000	-0.00104217	272.849	0	0	0.0494715	
150505	312.995	0.11793	0.933546	1	11656.5	-0.000804939	268.723	0	0.0509349	0	
158936	132.329	0.118156	0.886838	1	10000	-0.000911925	236.627	0	0	0.0561124	
135229	132.329	0.149684	0.850417	1	12745.8	-0.000744359	208.073	0	0	0.0615595	
211851	284.873	0.312699	0.712774	1	10163.5	-0.000851323	483.783	0	0.0619499	0	
102514	299.539	0.147697	0.66633	0.874476	10000	-0.000459293	180.544	0	0	0.0644021	
100000	166.927	0.128968	0.712774	1	10000	-0.000470377	169.455	0	0	0.0646673	
158936	132.329	0.118156	0.850417	1	10000	-0.000875651	235.645	0	0	0.0647054	
235629	144.226	0.162265	0.838162	0.936211	11347.1	-0.00128305	322.915	0	0	0.0715481	
151926	126.697	0.11793	0.850417	1	10000	-0.000835348	227.114	0	0	0.0750541	
183009	126.697	0.11793	0.818133	1	10000	-0.000967656	258.897	0	0	0.076825	
163381	193.877	0.14588	0.544789	1	10000	-0.000594909	253.851	0	0	0.078976	
160385	381.109	0.111606	0.804713	1	10000	-0.00071268	300.231	0	0.0848481	0	
134790	132.329	0.129531	0.789137	1	10000	-0.000691503	213.279	0	0	0.0849148	
111174	280.418	0.164618	0.409808	0.971577	10000	-0.000310155	199.653	0	0	0.0901872	
151926	126.697	0.105515	0.784882	1	10000	-0.000772997	218.99	0	0	0.091711	
151926	115.215	0.11793	0.804713	1	10000	-0.000787243	225.03	0	0	0.10644	



